mandante,visitante,resultado
Guarani,Vasco,casa
Athletico-PR,Gremio,casa
Flamengo,Coritiba,empate
Goias,Paysandu,empate
Internacional,Ponte Preta,empate
Criciuma,Fluminense,casa
Juventude,Sao Paulo,empate
Fortaleza,Bahia,empate
Cruzeiro,Sao Caetano,empate
Vitoria,Figueirense,empate
Santos,Parana,empate
Corinthians,Atletico-MG,fora
Fluminense,Fortaleza,empate
Atletico-MG,Santos,empate
Coritiba,Internacional,fora
Gremio,Guarani,casa
Bahia,Flamengo,fora
Figueirense,Corinthians,empate
Paysandu,Vitoria,fora
Ponte Preta,Juventude,casa
Parana,Athletico-PR,casa
Sao Caetano,Criciuma,casa
Sao Paulo,Cruzeiro,fora
Vasco,Goias,casa
Paysandu,Santos,casa
Internacional,Bahia,casa
Santos,Figueirense,casa
Athletico-PR,Atletico-MG,fora
Corinthians,Paysandu,casa
Vitoria,Vasco,casa
Criciuma,Sao Paulo,empate
Fortaleza,Sao Caetano,empate
Juventude,Coritiba,casa
Guarani,Parana,casa
Goias,Gremio,empate
Cruzeiro,Ponte Preta,casa
Flamengo,Fluminense,casa
Bahia,Juventude,casa
Gremio,Vitoria,casa
Atletico-MG,Guarani,casa
Figueirense,Athletico-PR,empate
Ponte Preta,Criciuma,empate
Sao Caetano,Flamengo,empate
Vasco,Corinthians,empate
Coritiba,Cruzeiro,fora
Fluminense,Internacional,casa
Sao Paulo,Fortaleza,casa
Parana,Goias,casa
Flamengo,Cruzeiro,casa
Bahia,Atletico-MG,fora
Sao Caetano,Gremio,empate
Flamengo,Santos,fora
Sao Paulo,Vasco,casa
Internacional,Corinthians,casa
Criciuma,Guarani,casa
Juventude,Vitoria,empate
Fortaleza,Athletico-PR,casa
Ponte Preta,Paysandu,empate
Cruzeiro,Goias,casa
Fluminense,Parana,empate
Coritiba,Figueirense,casa
Atletico-MG,Coritiba,fora
Parana,Bahia,casa
Vitoria,Internacional,fora
Guarani,Cruzeiro,empate
Corinthians,Flamengo,empate
Goias,Juventude,casa
Figueirense,Ponte Preta,empate
Santos,Fortaleza,casa
Gremio,Fluminense,fora
Athletico-PR,Criciuma,casa
Paysandu,Sao Paulo,casa
Vasco,Sao Caetano,casa
Flamengo,Vitoria,casa
Bahia,Gremio,casa
Cruzeiro,Athletico-PR,casa
Fortaleza,Corinthians,fora
Sao Paulo,Figueirense,casa
Sao Caetano,Paysandu,casa
Internacional,Goias,casa
Ponte Preta,Atletico-MG,casa
Juventude,Guarani,empate
Coritiba,Parana,casa
Criciuma,Santos,fora
Fluminense,Vasco,empate
Goias,Flamengo,empate
Santos,Cruzeiro,fora
Parana,Ponte Preta,casa
Corinthians,Criciuma,casa
Vasco,Bahia,empate
Paysandu,Fluminense,empate
Atletico-MG,Sao Paulo,empate
Vitoria,Fortaleza,casa
Guarani,Internacional,casa
Athletico-PR,Juventude,casa
Figueirense,Sao Caetano,casa
Gremio,Coritiba,casa
Fluminense,Figueirense,casa
Sao Caetano,Atletico-MG,casa
Juventude,Santos,empate
Bahia,Paysandu,casa
Internacional,Athletico-PR,empate
Coritiba,Vasco,empate
Cruzeiro,Corinthians,empate
Fortaleza,Goias,casa
Ponte Preta,Gremio,casa
Criciuma,Vitoria,empate
Flamengo,Guarani,empate
Sao Paulo,Parana,casa
Atletico-MG,Fluminense,casa
Parana,Sao Caetano,empate
Corinthians,Juventude,casa
Vasco,Ponte Preta,casa
Athletico-PR,Flamengo,casa
Paysandu,Coritiba,fora
Goias,Criciuma,fora
Gremio,Sao Paulo,fora
Guarani,Fortaleza,casa
Figueirense,Bahia,casa
Vitoria,Cruzeiro,casa
Santos,Internacional,casa
Fluminense,Athletico-PR,casa
Cruzeiro,Criciuma,casa
Coritiba,Guarani,casa
Ponte Preta,Sao Caetano,empate
Internacional,Paysandu,casa
Parana,Flamengo,casa
Bahia,Goias,casa
Fortaleza,Juventude,casa
Figueirense,Gremio,casa
Santos,Sao Paulo,casa
Corinthians,Vitoria,casa
Vasco,Atletico-MG,empate
Vitoria,Fluminense,casa
Guarani,Santos,fora
Gremio,Fortaleza,casa
Atletico-MG,Figueirense,empate
Paysandu,Parana,casa
Juventude,Vasco,empate
Athletico-PR,Ponte Preta,casa
Goias,Coritiba,fora
Sao Caetano,Corinthians,casa
Criciuma,Internacional,casa
Sao Paulo,Bahia,empate
Fluminense,Goias,fora
Ponte Preta,Guarani,fora
Coritiba,Athletico-PR,casa
Corinthians,Sao Paulo,fora
Fortaleza,Paysandu,fora
Parana,Juventude,fora
Gremio,Internacional,empate
Santos,Sao Caetano,fora
Criciuma,Figueirense,casa
Bahia,Vitoria,casa
Vasco,Flamengo,fora
Cruzeiro,Atletico-MG,empate
Bahia,Coritiba,empate
Vasco,Criciuma,casa
Atletico-MG,Gremio,casa
Internacional,Parana,casa
Sao Paulo,Goias,casa
Paysandu,Flamengo,empate
Ponte Preta,Corinthians,empate
Sao Caetano,Vitoria,casa
Figueirense,Fortaleza,empate
Juventude,Cruzeiro,fora
Fluminense,Guarani,casa
Fortaleza,Vasco,fora
Coritiba,Sao Caetano,casa
Gremio,Juventude,fora
Santos,Bahia,casa
Flamengo,Figueirense,fora
Corinthians,Fluminense,casa
Guarani,Sao Paulo,fora
Criciuma,Paysandu,casa
Vitoria,Athletico-PR,casa
Cruzeiro,Internacional,casa
Parana,Atletico-MG,empate
Vasco,Parana,fora
Sao Paulo,Sao Caetano,empate
Figueirense,Cruzeiro,casa
Atletico-MG,Paysandu,casa
Gremio,Flamengo,casa
Guarani,Goias,casa
Athletico-PR,Corinthians,casa
Juventude,Internacional,empate
Fortaleza,Criciuma,fora
Vitoria,Ponte Preta,fora
Santos,Coritiba,casa
Fluminense,Bahia,casa
Sao Caetano,Athletico-PR,empate
Corinthians,Santos,empate
Cruzeiro,Fortaleza,casa
Bahia,Guarani,casa
Paysandu,Figueirense,casa
Goias,Vitoria,empate
